No,lat,lng,名称,写真,説明
6,35.92497,136.1642,小川,R7_tanken_06.JPG,木が前にあってキレイに見えます。歩いて吉野地区をまわる時におすすめです。
13-1,35.93407,136.1487,あたり一面に広がる田んぼ,R7_tanken_13-1.JPG,夏になると、半分が緑で半分が黄色なのがきれいです。いつも登校している道だけど、季節によって景色がかわるので、いろいろな季節に見に来て欲しいです。
18-1,35.92356,136.1538,愛宕山山頂展望台,R7_tanken_18-1.JPG,吉野地区を一望できる展望台です。吉野地区のどこに何があるかが見渡せるのでおすすめです。展望台のすぐ横に、愛宕神社があります。
26,35.91925,136.1645,芝原1丁目の吉野瀬川と桜,R7_tanken_26.JPG,春には提灯がついて、昼も夜もきれいな桜を見られます。たくさん桜の木が植えられているので見ごたえがあります。
36-3,35.9347,136.1462,余田公民館のジャングルジムから見える景色,R7_tanken_36-3.PNG,夕方は、山のほうだけ明るくてきれいに見えます。反対に朝は田んぼ側が明るくなってきれいになります。
39,35.92947736,136.1679406,船岡神社の頂上の景色,R7_tanken_39.JPG,自然や川があってとっても景色がきれいです。たまに電車が通る所をみることができます。電車を見ることができたら、とても運がいいです。
35,35.92864127,136.168369,船岡の吉野瀬川,R7_tanken_35.JPG,この道は自転車でも通れます。車もときどき通るけれど、ほとんど来ないので散歩ができます。春は桜がきれいで、初夏は葉桜もきれいです。
43,35.92498,136.1736,石の塔のハピライン電車,R7_tanken_43.JPG,ここは電車が通るところなので、電車が好きな人にはおすすめです。また、いろいろな電車が通るので、何回見てもあきないからおすすめです。
45-1,35.92154,136.1466,片屋生活改善センターから見る日野山,R7_tanken_45-1.JPG,片屋生活改善センターから見える景色はとてもきれいで、映えスポットです。快晴の日の景色はさらにきれいです。この景色は、数秒、見ほれてしまうので、すてきな景色を見たい人におすすめです。ここにある花壇もいろいろな色の花がさいていてきれいです。
49,35.92615,136.1607,歩道橋,R7_tanken_49.JPG,吉野小学校の芝原と家久の子が、登下校の時にいつも使っています。越前市には二つしか歩道橋がないので、とてもめずらしいです。
60,35.92851555,136.133527,氷坂道のトンネル,R7_tanken_60.JPG,トンネルをぬけると、丹生郡越前町に行くことができます。トンネルは短く、100mくらいです。うす暗く、ちよっと怖いふんいきです。
65,35.93311217,36.15506317,散歩コースの風景,R7_tanken_65.JPG,一面に広がっている田んぼのとてもきれいな景色が印象に残ります。戦争の時代に、飛行場があったそうです。
71-2,35.92491535,136.1738598,柳原町のハピラインの電車,R7_tanken_71-2.JPG,この場所は、電車を見たいという人におすすめな場所です。写真を撮るのに、最高の場所で、きれいに見えるからです。ぜひこの場所に行ってみてくださいね。 
74-1,35.91743,136.1529,愛宕山,R7_tanken_74-1.JPG,愛宕山は、「ひょっこりひょうたん島」というアニメのモデルの一つになった山と言われています。愛宕山を南からみるとひょうたん.を横にしたような形に見えます。
87-1,35.9267518,136.152212,林道,R7_tanken_87-1.JPG,背の高い木がたくさん生えている場所です。おすすめの理由は、春には「かたくり」という花がさいている、群生地があるからです。
