No,lat,lng,名称,写真,説明
8,35.92566,136.1563,吉野小学校の校庭,R7_tanken_08.JPG,吉野小学校の校庭は、広くていろいろなスポーツで遊ぶことができます。遊具で遊ぶこともできて楽しいです
16,35.92315,136.1552,南芝原公民館,R7_tanken_16.JPG,春には紫のきれいな花がさいています。地区の体育大会の後に、みんなでご飯を食べたり、6年生を送る会をしたりしています。
18-2,35.92314119,136.1553167,片屋集落営農組合,R7_tanken_18-2.JPG,片屋集落営農組合は、片屋町の農家さんが集まったり農家さんのトラクターやコンバインなどが置かれている場所です。夏休みになるとラジオ体操をしています。
31,35.9264,136.1582,吉野公民館,R7_tanken_31.JPG,吉野地区の人たちが利用します。季節ごとに楽しいイベントをやっています。餅つきや流しそうめんもやってます。
40,35.92161719,136.1466146,片屋生活改善センター,R7_tanken_40-1.JPG,ここは、片屋町の人が利用します。子ども達は、ここで勉強したり遊んだりしています。毎年、子ども会の行事や6年生を送る会で遊ぶので楽しみです。
36-1,35.93297,136.1444,余田の公民館,R7_tanken_36-1.JPG,休みの時、ひまな時など、余田の公民館に行ったら楽しむ事ができます。いろいろな子が遊びに来ていて一緒に遊べます。
47,35.92707,136.1714,家久駅,R7_tanken_47.JPG,ここから電車でいろいろな所へ行くことができます。川が近いので景色もいいです。座って休憩もできるので、お年よりの人も安全に電車に乗ることができます。自動販売機もあるので、のどがかわいたら買って、楽しく電車に乗ることができます
59,35.92543,136.1692,家久公民館,R7_tanken_59.JPG,9月には、天満宮という祭りをしています。天満宮の時には外で盆踊りなどをします。他にも会議で使ったり、盆踊りの練習をしたり、町内のいろいろな行事に使われています。
81,35.92241,136.167,家久保育園,R7_tanken_81.JPG,家久の子は大体通っていました。芝原や本保の子も通っていました。でも大きな子ども園ができるので、もうすぐ閉園します。
