No,lat,lng,名称,写真,説明
2,35.92171,136.16,なかよし公園,R7_tanken_02.JPG,ブランコとすべり台があり、プランコが特に面白いです。ツツジなどのきれいな花がたくさん咲きます。後ろに、広いしばふがあって色々な遊びができます。
3,35.92699,136.152838,丹南総合運動公園,R7_tanken_03.JPG,丹南公園では、犬とよく会います。遊んでいる子もいるので、友達になることもあります。夕方になると、太陽がとてもきれいに見えます。芝生もあり、遊具もあるので遊ぶときにぴったりです。自転車も、車も停められます。ベンチもいっぱいあるので、休憩もできます。歩道もあるのでランニングしている人もいます。芝生広場では、シートをしいでご飯を食べている人もいます。
5,35.92447,136.1672,市営住宅の公園,R7_tanken_05.JPG,ブランコが2個とすべり台があって、とても楽しいです。いろいろな生き物もいて、カナヘビやニホントカゲが見られます。猫や犬もたまにいてオススメです。
10,35.92517,136.1624,ジャムハウス近くの公園,R7_tanken_10.JPG,この公園は、ブランコなどの遊具があります。春ごろになると桜がさきます。ベンチもあるので桜を見ながら休けいなどをしてみてもきれいです。災害が起きた時に必要なものが入っている防災倉庫もあり、避難場所にもなっています。
17,35.92469,136.1501,丹南総合運動公園,R7_tanken_17.JPG,遊具や芝生があります。遊具が一つ一つ大きくて楽しめます。トランポリンとブランコもあります。ブランコは、小さい子用もあります。屋根がある休憩所もあります
22,35.92522,136.1668,家久南部公園,R7_tanken_22.JPG,春になると桜がきれいな公園です。砂の部分があるのでドッジボールなどのボール遊びができます。
29,35.93046,136.1572,黒い公園,R7_tanken_29.JPG,ここは公園で遊ぶことができます。昔は洪水が起こったときは水を貯めるところだったそうです。木のベンチもあります。
30,35.92249,136.1639,新しい黒い公園,R7_tanken_30.JPG,新しくできた公園です。黒い公園なので、みんなは「くろこ」と呼んでいます。すべり台や丸いベンチがあります。
34-2,35.9222,136.172,柳原公園,R7_tanken_34-2.JPG,家久にある公園です。滑り台やブランコ、シーソー、アイスクリームのコーンが傾いているような遊具もあります。疲れたらベンチで休憩できるし、広いので鬼ごっこもできます。楽しい場所なのでぜひ行ってみてください。
40-2,35.9202242,136.142986,片屋の公園,R7_tanken_40-2.JPG,滑り台やブランコ鉄棒があって、広いからおすすめです。ここで鬼ごっこや缶蹴りをするのがよいと思います。
46,35.9229,136.1631,グリーン公園,R7_tanken_46.JPG,地面から少し下りると、大きいバスケットコートがあります。洪水などがあった時に、水をためられるようになっています。
48,35.9226,136.1624,グリーン公園横の砂利公園,R7_tanken_48.JPG,地面がじゃりでできているので「じゃり公園」と呼んでいます。おにごっこやお話をするのにぴったりな場所です。きれいな石がたくさんあるので、好きな石を探すのも遊び方の1つです。
50,35.925194,136.162468,避難所のある公園,R7_tanken_50.JPG,ブランコやシーソー、ベンチがある公園です。遊具がいっぱいあるので楽しいです。火事や災害が起きたときに集まる避難所にもなっています。
53,35.92263,136.1641,古い黒い公園,R7_tanken_53.JPG,この黒い公園は、ちょっとした休憩や、色々な遊びができます。遊具はありませんが、自転車やサッカーやバレーなどで遊べます。ベンチもあるので、友達と一緒にお菓子を食べたり、お話をしたりすることもできます。
56,35.92496,136.1586,本保公園,R7_tanken_56.JPG,本保公園は、ブランコだけの公園です。でも公園に広いスペースがあるので、そこでおにごっこなどをして遊ぶことができます。
57,35.92075,136.1674,松久保の空き地,R7_tanken_57.JPG,何もない空き地です。ここでは野球やサッカーができます。年に1回、もちつきや花火を松久保の人たちでやります。近所の友達などと気軽に遊べます。ベンチもあり休けいもできます。花だんもあり、時期によってはきれいな花なども咲きます。さくがあってボールが飛んでいく心配もないので安全です。
61,35.91962,136.1718,家久スポーツ公園・プール,R7_tanken_61.JPG,武生中央公園のプールより人も少なくて安いのでおすすめです。いっぱい泳げます。入り口にアイスが売っているのもいいです。
66,35.93115,136.1696,家久公園,R7_tanken_66.JPG,家久公園は、犬の散歩で人気です。遊具があるので遊ぶこともできます。たくさんの草や花があってきれいです
67,35.92032,136.1715,柳荘公園と電車,R7_tanken_67.JPG,柳荘公園は遊んだり、電車を撮ったりすることができる公園です。柳荘公園ではハピラインふくいや貨物列車を見ることが出来ます。水色の遊具はバランスを取る遊具で、とても楽しいので、ぜひ一度やってみてください。
73,35.91947,136.1736,スポーツ公園,R7_tanken_73.JPG,ここは、広くてサッカーのゴールもあるので、ここで吉野サッカーなどが練習しています。走る練習や野球の練習など、いろいろなスポーツで体を動かすことができる人気のスポーツスポットです。近くに自動販売機があるので、水分補給などもできます。
83,35.91908,136.1738,スポーツ公園,R7_tanken_83.JPG,スポーツ公園は、野球場やテニスコート、スケートボードのコートなどがあります。サッカーもできます。自然も良くてゴミもないきれいな公園です。みなさんもぜひ行ってみてくださいね。
85,35.9171,136.1614,芝原第一公園,R7_tanken_85.JPG,第一公園は広くて、休けい場所になるベンチが日陰になる場所にあるのでいい所です。サッカーや野球、運動会もできます。すべり台やブランコなどの遊具もあります。
89,35.92648,136.1729,石の塔の三角公園,R7_tanken_89.JPG,三角公園は、いつもいろいろな人が来て遊んでいます。すべり台とブランコと鉄ぼうがあります。ドッジボールやおにごっこもできるので、友達と楽しく遊べるおすすめの公園です。
90,35.92409,136.161,砂利公園,R7_tanken_90.JPG,小さな公園です。遊具はありませんが、おにごっこやバドミントンができます。広々と遊ぶにはとでもよい公園です。
