No,lat,lng,名称,写真,説明
9-1,35.92996,136.1438,田の神様祭り,R7_tanken_09-1.JPG,毎年、豊作を田の神様に感謝してごちそうなどをもてなす行事です。他ではなかなかできない、とてもおもしろい体験ができます。また、お菓子などの参加賞がもらえるので子どもたちも楽しみにしています。
33,35.928605,136.168016,船岡神社の祭り,R7_tanken_33.JPG,10月ぐらいに船岡神社の秋祭りがあります。屋台が出たり、ビンゴ大会が行われたりするので有名です。下のにも屋台が出ます。夜になったら、ちゅう選会が始まり、とてもにぎわいます。
34-1,35.91985,136.173,家久町の体育祭,R7_tanken_34-1.JPG,ごこは家久の体育祭が行われる場所です。家久の体育祭では、玉入れ、障害物競争、色別リレーなどをします。老若男女みんなで楽しみながら、家久町の人々の伸を深めています。
36-2,35.933,136.1447,田の神様,R7_tanken_36-2.JPG,田の神様は「北出」「中出」「南出」の三か所にほこらがあり、お百姓さんの神様が祭ってあります。
38,35.9263571,136.157777,吉野神社秋季大祭,R7_tanken_38.JPG,10月にある祭りです。約1時から御神輿をかついで町を回ったあと、公民館駐車場及び吉野神社で祭りをします。カステラや飴などの店がでます。射的やボールすくいやくじ引きもあります。最後にビンゴ大会があり、旅行券や食べ物などのごうかな景品がもらえます。
45-2,35.92103,136.143,鵜甘神社の祭り,R7_tanken_45-2.JPG,鵜甘神社では、毎年祭りがあります。地区の人とおみこしをしたりゲームをしたりビンゴゲームをしたりします。あとここに美味しい屋台があってとても美味しいです。ここがおすすめな理由は、地区の人と遊んだりして仲を深めたり、いろいろなゲームをして思いっきり遊ぶことができるからです。
64,35.92428,136.1637,飯部磐座神社の祭り,R7_tanken_64.JPG,芝原にある神社のお祭りです。夏祭りでは、ビンゴゲームや射的などができます。屋台も出るので飲食もできます。夏祭りの朝にはおみこしをしていて、おみこしをすると100円けんを町内の子どもはもらえます。
72,35.91712,136.1615,芝原一丁目の芝原祭り,R7_tanken_72.JPG,芝原一丁目の公園で行われる祭りです。たくさんの食べ物が売られていたり、ゲームコーナーがあったりして楽しいです。
75,35.9241014,136.156758,本保陣屋祭り,R7_tanken_75.JPG,ビンゴや射的などの屋台が出ます。他のお祭りよりねだんが安いので、うれしいです。景品がごうかなこともみんなが喜ぶ理由の一つです。7月の1週目にいつもやっています。
77-1,35.923562,136.154051,愛宕山の火祭り,R7_tanken_77-1.JPG,松明に火をつけて持ちながら山を登ります。頂上では火のついた松明を集めます。その後にもやし、焚火みたいにします。次にくじ引きをします。最後に山を下りて、くじ引きで当たった人は景品をもらい、当たらなかった人も参加賞がもらえます。
